case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
medium,tensor_dot_serial,32,16,16,32,0,0,8,24464300,3058037.5,2690.7799999999997,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,1,8,24664700,3083087.5,2948.8000000000002,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,2,8,24918900,3114862.5,3206.8200000000002,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,3,8,24582700,3072837.5,2911.9400000000001,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,4,8,24503000,3062875,2764.5,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,5,8,24889900,3111237.5,2801.3600000000001,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,6,8,24644700,3080587.5,3649.1399999999999,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,7,8,25147600,3143450,3575.4200000000001,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,tensor_dot_serial,32,16,16,32,0,8,8,25211400,3151425,2838.2200000000003,3083087.5,3097600,34219.082190168396,3065890.3171704439,3129309.6828295561
medium,context_default,32,16,16,32,0,0,8,24610600,3076325,2727.6399999999999,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,1,8,25331000,3166375,2948.8000000000002,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,2,8,25118700,3139837.5,3206.8200000000002,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,3,8,24623900,3077987.5,3686,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,4,8,24684400,3085550,2801.3600000000001,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,5,8,24599700,3074962.5,2617.0599999999999,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,6,8,24477100,3059637.5,3501.6999999999998,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,7,8,24867000,3108375,2985.6600000000003,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_default,32,16,16,32,0,8,8,26312100,3289012.5,2838.2200000000003,3085550,3119784.722222222,72262.958877245299,3052821.0469959746,3186748.3974484694
medium,context_forced,32,16,16,32,0,0,32,28280200,883756.25,2690.7799999999997,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,1,32,27938400,873075,2580.1999999999998,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,2,32,26641200,832537.5,3280.54,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,3,32,27547100,860846.875,3354.2600000000002,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,4,32,28447200,888975,2764.5,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,5,32,27044900,845153.125,3096.2399999999998,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,6,32,27339500,854359.375,3096.2399999999998,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,7,32,28206600,881456.25,3649.1399999999999,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,context_forced,32,16,16,32,0,8,32,28477300,889915.625,2653.9200000000001,873075,867786.11111111112,20590.415435119288,848705.65947456728,886866.56274765497
medium,scalar_prevalidated,32,16,16,32,0,0,512,37833500,73893.5546875,2801.3600000000001,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,1,512,38163900,74538.8671875,2727.6399999999999,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,2,512,38846700,75872.4609375,3649.1399999999999,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,3,512,38781100,75744.3359375,2911.9400000000001,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,4,512,39692500,77524.4140625,2801.3600000000001,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,5,512,38405700,75011.1328125,2727.6399999999999,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,6,512,38991800,76155.859375,3427.98,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
medium,scalar_prevalidated,32,16,16,32,0,7,512,40280200,78672.265625,2985.6600000000003,75872.4609375,76129.014756944438,1582.2132843740833,74662.830446757784,77595.199067131092
