case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
medium,tensor_dot_serial,32,16,16,32,0,0,8,25787400,3223425,3059.3799999999997,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,1,8,25134300,3141787.5,2580.1999999999998,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,2,8,24787200,3098400,2617.0599999999999,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,3,8,25397300,3174662.5,2653.9200000000001,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,4,8,25506300,3188287.5,2653.9200000000001,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,5,8,25571200,3196400,3575.4200000000001,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,6,8,24519300,3064912.5,2653.9200000000001,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,7,8,25123900,3140487.5,2801.3600000000001,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,tensor_dot_serial,32,16,16,32,0,8,8,25027800,3128475,2617.0599999999999,3141787.5,3150759.722222222,50170.794144297186,3104268.1196485064,3197251.3247959376
medium,context_default,32,16,16,32,0,0,8,26004400,3250550,3575.4200000000001,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,1,8,24480000,3060000,2506.48,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,2,8,24817600,3102200,2653.9200000000001,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,3,8,24531600,3066450,2653.9200000000001,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,4,8,26104600,3263075,3575.4200000000001,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,5,8,25605700,3200712.5,2617.0599999999999,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,6,8,24678700,3084837.5,2838.2200000000003,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,7,8,24794300,3099287.5,2875.0799999999999,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_default,32,16,16,32,0,8,8,25509600,3188700,2690.7799999999997,3102200,3146201.388888889,79858.619076456685,3072199.0685447059,3220203.7092330721
medium,context_forced,32,16,16,32,0,0,32,26328400,822762.5,3686,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,1,32,26653700,832928.125,2469.6200000000003,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,2,32,27639700,863740.625,2580.1999999999998,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,3,32,25784800,805775,2653.9200000000001,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,4,32,27997500,874921.875,2838.2200000000003,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,5,32,26297700,821803.125,3686,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,6,32,26195400,818606.25,2617.0599999999999,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,7,32,25862200,808193.75,2875.0799999999999,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,context_forced,32,16,16,32,0,8,32,26200100,818753.125,2653.9200000000001,821803.125,829720.48611111112,23985.72090640958,807493.71807117155,851947.2541510507
medium,scalar_prevalidated,32,16,16,32,0,0,256,28796000,112484.375,2617.0599999999999,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,1,256,26197400,102333.59375,2506.48,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,2,256,26429800,103241.40625,2617.0599999999999,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,3,256,25507100,99637.109375,2653.9200000000001,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,4,256,26153900,102163.671875,3501.6999999999998,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,5,256,26259200,102575,2617.0599999999999,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,6,256,25332200,98953.90625,3538.5599999999999,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,7,256,26508300,103548.046875,2727.6399999999999,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
medium,scalar_prevalidated,32,16,16,32,0,8,256,26856400,104907.8125,2690.7799999999997,102575,103316.10243055556,3906.0296069553874,99696.51499477691,106935.68986633421
cutoff,tensor_dot_serial,64,8,32,64,0,0,2,24483200,12241600,2764.5,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,1,2,23160800,11580400,2653.9200000000001,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,2,2,23017000,11508500,2801.3600000000001,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,3,2,24474600,12237300,2875.0799999999999,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,4,2,23768200,11884100,3538.5599999999999,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,5,2,24227700,12113850,2801.3600000000001,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
