case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
medium,tensor_dot_serial,32,16,16,32,0,0,256,30879100,120621.484375,2727.6399999999999,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,1,256,31942600,124775.78125,2727.6399999999999,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,2,256,30978800,121010.9375,2838.2200000000003,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,3,256,31250400,122071.875,2801.3600000000001,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,4,256,32307800,126202.34375,2801.3600000000001,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,5,256,32534300,127087.109375,2727.6399999999999,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,6,256,32098900,125386.328125,3096.2399999999998,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,7,256,31961500,124849.609375,3575.4200000000001,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,tensor_dot_serial,32,16,16,32,0,8,256,32390700,126526.171875,2911.9400000000001,124849.609375,124281.29340277778,2433.1584310163385,122026.56659003597,126536.02021551959
medium,context_default,32,16,16,32,0,0,256,30945600,120881.25,2727.6399999999999,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,1,256,31691000,123792.96875,2727.6399999999999,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,2,256,31858800,124448.4375,2838.2200000000003,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,3,256,31253000,122082.03125,2838.2200000000003,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,4,256,31211100,121918.359375,2875.0799999999999,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,5,256,32521700,127037.890625,2801.3600000000001,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,6,256,32044300,125173.046875,2875.0799999999999,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,7,256,32178100,125695.703125,2948.8000000000002,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_default,32,16,16,32,0,8,256,32182000,125710.9375,2911.9400000000001,124448.4375,124082.29166666667,2071.5024403146358,122162.69940530845,126001.88392802489
medium,context_forced,32,16,16,32,0,0,512,25202300,49223.2421875,2580.1999999999998,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,1,512,26985600,52706.25,2801.3600000000001,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,2,512,25067600,48960.15625,2948.8000000000002,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,3,512,25734900,50263.4765625,2838.2200000000003,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,4,512,26227100,51224.8046875,2764.5,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,5,512,26340300,51445.8984375,2838.2200000000003,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,6,512,26525200,51807.03125,2911.9400000000001,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,7,512,25954200,50691.796875,3280.54,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,context_forced,32,16,16,32,0,8,512,25413200,49635.15625,2911.9400000000001,50691.796875,50661.979166666664,1255.0753743307471,49498.942653120175,51825.015680213153
medium,scalar_prevalidated,32,16,16,32,0,0,512,38765100,75713.0859375,2653.9200000000001,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,1,512,38537800,75269.140625,2801.3600000000001,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,2,512,39434100,77019.7265625,2948.8000000000002,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,3,512,39456400,77063.28125,2764.5,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,4,512,38024700,74266.9921875,2764.5,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,5,512,39662900,77466.6015625,2653.9200000000001,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,6,512,39138100,76441.6015625,2838.2200000000003,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,7,512,38062100,74340.0390625,3022.52,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
medium,scalar_prevalidated,32,16,16,32,0,8,512,38897100,75970.8984375,2875.0799999999999,75970.8984375,75950.151909722219,1165.6589483795174,74869.974617557193,77030.329201887245
reversed,tensor_dot_serial,32,16,16,32,1,0,256,31565600,123303.125,2911.9400000000001,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,1,256,32441400,126724.21875,2875.0799999999999,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,2,256,32565400,127208.59375,3686,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,3,256,31098000,121476.5625,2727.6399999999999,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,4,256,32552600,127158.59375,2690.7799999999997,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,5,256,32357000,126394.53125,2690.7799999999997,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,6,256,33710100,131680.078125,2801.3600000000001,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,7,256,31948900,124800.390625,2727.6399999999999,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,tensor_dot_serial,32,16,16,32,1,8,256,31637300,123583.203125,2764.5,126394.53125,125814.36631944444,2967.5521507776248,123064.43465972383,128564.29797916504
reversed,context_default,32,16,16,32,1,0,256,31892300,124579.296875,2838.2200000000003,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,1,256,32182300,125712.109375,3612.2799999999997,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,2,256,32772200,128016.40625,3538.5599999999999,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,3,256,32319200,126246.875,2875.0799999999999,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,4,256,31614800,123495.3125,2690.7799999999997,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,5,256,32614700,127401.171875,2764.5,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,6,256,32826100,128226.953125,2764.5,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,7,256,32572100,127234.765625,2801.3600000000001,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_default,32,16,16,32,1,8,256,32443000,126730.46875,2801.3600000000001,126730.46875,126404.81770833333,1581.4359171134704,124939.35375847484,127870.28165819182
reversed,context_forced,32,16,16,32,1,0,512,27058700,52849.0234375,2727.6399999999999,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,1,512,25370800,49552.34375,3501.6999999999998,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,2,512,26727600,52202.34375,3169.96,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,3,512,26405400,51573.046875,2764.5,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,4,512,26320400,51407.03125,2801.3600000000001,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,5,512,26083800,50944.921875,2727.6399999999999,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,6,512,26870200,52480.859375,2727.6399999999999,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,7,512,27604000,53914.0625,2801.3600000000001,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,context_forced,32,16,16,32,1,8,512,27168600,53063.671875,2764.5,52202.34375,51998.589409722219,1295.4794773675042,50798.111760694999,53199.067058749439
reversed,scalar_prevalidated,32,16,16,32,1,0,512,38846800,75872.65625,2985.6600000000003,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,1,512,39729700,77597.0703125,2875.0799999999999,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,2,512,39849900,77831.8359375,3612.2799999999997,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,3,512,39611500,77366.2109375,3317.4000000000001,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,4,512,39903500,77936.5234375,2764.5,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
