case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
medium,tensor_dot_serial,32,16,16,32,0,0,256,33755600,131857.8125,2653.9200000000001,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,1,256,33171700,129576.953125,2801.3600000000001,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,2,256,33728700,131752.734375,2727.6399999999999,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,3,256,33012900,128956.640625,2801.3600000000001,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,4,256,33565700,131116.015625,3059.3799999999997,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,5,256,33560200,131094.53125,3317.4000000000001,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,6,256,33121600,129381.25,2727.6399999999999,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,7,256,33339800,130233.59375,2801.3600000000001,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,tensor_dot_serial,32,16,16,32,0,8,256,33726500,131744.140625,3649.1399999999999,131094.53125,130634.85243055556,1122.8706345709998,129594.32564251978,131675.37921859135
medium,context_default,32,16,16,32,0,0,256,33275000,129980.46875,2653.9200000000001,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,1,256,33448900,130659.765625,2948.8000000000002,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,2,256,33214100,129742.578125,2727.6399999999999,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,3,256,33344000,130250,2727.6399999999999,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,4,256,33605400,131271.09375,2653.9200000000001,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,5,256,32195200,125762.5,2727.6399999999999,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,6,256,32288400,126126.5625,2653.9200000000001,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,7,256,33726100,131742.578125,2801.3600000000001,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_default,32,16,16,32,0,8,256,33632900,131378.515625,2764.5,130250,129657.11805555556,2208.4727021390163,127610.60001824007,131703.63609287105
medium,context_forced,32,16,16,32,0,0,512,22269200,43494.53125,2653.9200000000001,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,1,512,21914600,42801.953125,2653.9200000000001,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,2,512,21676700,42337.3046875,2727.6399999999999,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,3,512,22030200,43027.734375,2653.9200000000001,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,4,512,23300200,45508.203125,3096.2399999999998,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,5,512,21399900,41796.6796875,3317.4000000000001,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,6,512,22032200,43031.640625,2727.6399999999999,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,7,512,22520300,43984.9609375,2727.6399999999999,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,context_forced,32,16,16,32,0,8,512,22437900,43824.0234375,2690.7799999999997,43031.640625,43311.892361111109,1074.5611246138012,42316.132385635654,44307.652336586565
medium,scalar_prevalidated,32,16,16,32,0,0,256,25709800,100428.90625,2580.1999999999998,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,1,256,26805300,104708.203125,3391.1200000000003,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,2,256,27291500,106607.421875,2690.7799999999997,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,3,256,25623400,100091.40625,2653.9200000000001,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,4,256,26496000,103500,3464.8399999999997,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,5,256,25861000,101019.53125,2764.5,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,6,256,25913900,101226.171875,2727.6399999999999,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,7,256,25939900,101327.734375,2801.3600000000001,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
medium,scalar_prevalidated,32,16,16,32,0,8,256,25531900,99733.984375,2801.3600000000001,101226.171875,102071.484375,2345.865321463556,99897.649177110434,104245.31957288957
cutoff,tensor_dot_serial,64,8,32,64,0,0,64,27681000,432515.625,2764.5,429667.1875,428781.77083333331,7612.4785123875718,421727.54074518749,435836.00092147914
cutoff,tensor_dot_serial,64,8,32,64,0,1,64,27554700,430542.1875,2617.0599999999999,429667.1875,428781.77083333331,7612.4785123875718,421727.54074518749,435836.00092147914
cutoff,tensor_dot_serial,64,8,32,64,0,2,64,28142500,439726.5625,2617.0599999999999,429667.1875,428781.77083333331,7612.4785123875718,421727.54074518749,435836.00092147914
cutoff,tensor_dot_serial,64,8,32,64,0,3,64,27498700,429667.1875,2875.0799999999999,429667.1875,428781.77083333331,7612.4785123875718,421727.54074518749,435836.00092147914
