case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,0,1024,35298500,34471.19140625,2727.6399999999999,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,1,1024,36328500,35477.05078125,2801.3600000000001,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,2,1024,35471000,34639.6484375,2985.6600000000003,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,3,1024,35623600,34788.671875,2801.3600000000001,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,4,1024,35417300,34587.20703125,2911.9400000000001,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,5,1024,36409300,35555.95703125,2875.0799999999999,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,6,1024,37408500,36531.73828125,3317.4000000000001,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,7,1024,35602400,34767.96875,2727.6399999999999,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,8,1024,35881700,35040.72265625,2727.6399999999999,34788.671875,35095.572916666664,659.61413092493012,34484.330488676227,35706.815344657101,28744.989276771579
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,0,1024,36807100,35944.43359375,2727.6399999999999,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,1,1024,36316100,35464.94140625,3133.0999999999999,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,2,1024,35994500,35150.87890625,2690.7799999999997,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,3,1024,35378900,34549.70703125,2801.3600000000001,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,4,1024,35953800,35111.1328125,2653.9200000000001,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,5,1024,36252000,35402.34375,2838.2200000000003,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,6,1024,35438200,34607.6171875,2764.5,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,7,1024,35812500,34973.14453125,2801.3600000000001,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,8,1024,37330000,36455.078125,2653.9200000000001,35150.87890625,35295.475260416664,611.76708123071751,34728.571098476197,35862.379422357131,28448.790787481419
